timestamp,mac_address,crop_number,date,time,soil_moisture,soil_nitrogen,soil_phosphorus,soil_potassium,soil_temperature,soil_conductivity,soil_ph,air_temperature,air_humidity
1755640011.30599,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.8
1755640052.6886165,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.8
1755640094.0732398,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.8,61.7
1755640135.4577355,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.8,61.7
1755640176.8422325,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.8
1755640218.2281592,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.8
1755640259.6128266,F4:65:0B:54:74:58,2,,,33.8,19,26,64,29.0,33.8,7.6,30.8,61.8
1755640300.9974716,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.9
1755640342.382369,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.9
1755640383.7661932,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.8,61.9
1755640425.1503096,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.9
1755640466.5340865,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.7
1755640507.9180715,F4:65:0B:54:74:58,2,,,33.9,19,26,64,28.9,33.9,7.6,30.8,61.9
1755640549.306711,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.8,61.9
